"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59","countsOnlyThisTestsOrders()","","2026-07-10","failed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","countsOnlyThisTestsOrders"
"","1","invalidBuilderDataFailsBeforeDatabaseSetup()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","invalidBuilderDataFailsBeforeDatabaseSetup"
"","1","builderStatesOnlyWhatThetestcaresAbout()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","builderStatesOnlyWhatThetestcaresAbout"
"Failed assertion should appear as a product defect","2","productDefectExample()","","2026-07-10","failed","2026-07-10","","com.example.Selenium.data.W6D4ReportingInsightsTest","com.example.Selenium.data.W6D4ReportingInsightsTest","productDefectExample"
"","58","flywaySeedsReferenceDataButNotPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","flywaySeedsReferenceDataButNotPerTestOrders"
"Message matches categories.json flaky regex","2","flakyFailureExample()","","2026-07-10","broken","2026-07-10","","com.example.Selenium.data.W6D4ReportingInsightsTest","com.example.Selenium.data.W6D4ReportingInsightsTest","flakyFailureExample"
"","67","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","resetMakesTestOrderIndependent"
"","43","factoryPersistsBuilderDataAgainstIsolatedPostgres()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.OrdersDataIT","com.example.Selenium.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedPostgres"
"","1","builderSupportNamedBusinessStatesWithoutFixtureDuplication()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","builderSupportNamedBusinessStatesWithoutFixtureDuplication"
"Unexpected exceptions appear as broken tests","3","testDefectExample()","","2026-07-10","broken","2026-07-10","","com.example.Selenium.data.W6D4ReportingInsightsTest","com.example.Selenium.data.W6D4ReportingInsightsTest","testDefectExample"
"Demonstrates a passing test with steps and attachments","1","successfulScenario()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.W6D4ReportingInsightsTest","com.example.Selenium.data.W6D4ReportingInsightsTest","successfulScenario"
"","1","builderUsesSensibleDefaults()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","com.example.Selenium.data.W6D3TestDataBuilderStructureTest","builderUsesSensibleDefaults"
